               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.011213,            0.011065,                   0,             0.98056,             0.92477,             0.97158,             0.91591,            0.016648,            0.011318,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.010937,            0.010839,                   0,             0.97924,             0.92657,             0.97173,             0.91667,            0.016868,            0.011369,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.011073,            0.010859,                   0,             0.97843,             0.92988,             0.97237,              0.9173,            0.016503,            0.011392,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.010799,            0.010854,                   0,              0.9716,              0.9342,             0.97271,             0.91695,            0.016505,            0.011326,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.01092,            0.010733,                   0,             0.97689,              0.9298,             0.97324,             0.91695,            0.016315,            0.011223,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.010693,            0.010608,                   0,             0.97594,              0.9338,             0.97289,             0.91694,             0.01651,            0.011322,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.010457,            0.010463,                   0,             0.98179,             0.92811,              0.9735,             0.91756,            0.016399,            0.011256,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.010388,            0.010568,                   0,             0.97994,             0.93062,             0.97222,             0.91746,            0.016346,            0.011144,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.010253,            0.010281,                   0,             0.97656,              0.9342,             0.97281,             0.91743,            0.016314,            0.011229,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.010158,            0.010285,                   0,             0.98042,             0.93007,             0.97346,             0.91819,            0.016255,            0.011187,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.010131,            0.010154,                   0,             0.97888,             0.92859,             0.97248,             0.91819,            0.016341,            0.011209,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.010014,            0.010148,                   0,             0.97877,             0.93263,             0.97322,             0.91817,            0.016251,            0.011232,                   0,            0.003763,            0.003763,            0.003763
                  65,           0.0098717,            0.010002,                   0,             0.97307,             0.93577,             0.97415,             0.91959,             0.01612,            0.011032,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0098336,           0.0099903,                   0,             0.97664,             0.93605,             0.97391,                0.92,            0.016097,            0.010998,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0095484,           0.0097455,                   0,             0.97817,             0.93299,             0.97413,              0.9204,            0.015838,            0.011101,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0096907,           0.0099732,                   0,             0.98019,             0.93282,             0.97412,             0.91988,            0.015907,            0.011018,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0096752,           0.0097835,                   0,             0.97951,             0.93439,             0.97504,             0.91997,            0.015866,            0.010955,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0094047,           0.0096674,                   0,             0.97902,             0.93223,             0.97355,             0.91994,            0.016015,            0.010878,                   0,            0.003169,            0.003169,            0.003169
